Timestamp,UserID,Event Name,UUID,Param/player,Param/event,Param/initialRotationAngle,Param/totalAngleTraversed,Param/proportionalForce,Param/position,Param/rotation,Param/matchTime,Param/WinnerID,Param/P1_ShotsFired,Param/P2_ShotsFired,Param/P1_MaxRotationSpeed,Param/P2_MaxRotationSpeed,Param/P1_TotalTorqueApplied,Param/P2_TotalTorqueApplied,Param/P1_AverageSpeed,Param/P2_AverageSpeed,Param/P1_ButtonPressesPerShot,Param/P2_ButtonPressesPerShot,Param/RoundDuration
2/12/2024 15:15:43,NULL,EndTorqueApplied,e12816a7ee2f8dd07d67cea22832ee6a,Player2,EndTorqueApplied,,120,7,,,,,,,,,,,,,,,
2/12/2024 15:15:43,NULL,WeaponAimed,d1f9d120eba67ef3d16bf967e7619e52,Player1,WeaponAimed,32.82535,,,,,,,,,,,,,,,,,
2/12/2024 15:15:43,NULL,WeaponAimed,d1f9d120eba67ef3d16bf967e7619e52,Player2,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:43,NULL,WeaponAimed,d1f9d120eba67ef3d16bf967e7619e52,Player2,WeaponAimed,8.607731,,,,,,,,,,,,,,,,,
2/12/2024 15:15:44,NULL,WeaponAimed,48ffb400d959b61b9dbe5e68d25a6811,Player1,WeaponAimed,-16.80565,,,,,,,,,,,,,,,,,
2/12/2024 15:15:44,NULL,EndTorqueApplied,30872b97ef6371b8dfd68a1bf3bbc06d,Player2,EndTorqueApplied,,51.39227,2.997882,,,,,,,,,,,,,,,
2/12/2024 15:15:45,NULL,Player1Shot,5feb8bebf4139977258e123463186c34,Player1,Player1Shot,,,,(1.38, -4.35, 0.00),(0.00, 180.00, 122.63),,,,,,,,,,,,,
2/12/2024 15:15:45,NULL,WeaponAimed,c31a5c9fe2247ac203571019054c8901,Player2,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:46,NULL,WeaponAimed,0196cd2884ba4de0eb7f8ac78418ba64,Player2,WeaponAimed,-26.46943,,,,,,,,,,,,,,,,,
2/12/2024 15:15:46,NULL,Player1Shot,cb22eee6ff3b5e2d9782d1bf10f4b063,Player1,Player1Shot,,,,(2.02, -3.24, 0.00),(0.00, 180.00, 109.52),,,,,,,,,,,,,
2/12/2024 15:15:47,NULL,WeaponAimed,ab0e67687d71586d19ccc0bab0f7dafb,Player2,WeaponAimed,51.66503,,,,,,,,,,,,,,,,,
2/12/2024 15:15:47,NULL,WeaponAimed,ab0e67687d71586d19ccc0bab0f7dafb,Player2,WeaponAimed,11.63198,,,,,,,,,,,,,,,,,
2/12/2024 15:15:48,NULL,EndTorqueApplied,695315e990236f4ff8d9acc1d50caeb5,Player2,EndTorqueApplied,,48.36802,2.821468,,,,,,,,,,,,,,,
2/12/2024 15:15:48,NULL,Player1Shot,0e497770470ce3a1b0a2b6a66c4c0373,Player1,Player1Shot,,,,(1.56, -4.02, 0.00),(0.00, 180.00, 108.06),,,,,,,,,,,,,
2/12/2024 15:15:48,NULL,RoundComplete,a661a5c4502c037b467c91f71ea6f416,,,,,,,,12.4716,1,5,3,742.7672,348.3601,10.8452,21.8713,-151.2282,-151.1869,0,1,
2/12/2024 15:15:49,NULL,Player2Shot,e5360b7417711d266e465c11c78991e1,Player2,Player2Shot,,,,(4.66, 0.38, 0.00),(0.00, 0.00, 292.46),,,,,,,,,,,,,
2/12/2024 15:15:49,NULL,WeaponAimed,b4d5f02446f2a655c888efa57024ee22,Player1,WeaponAimed,-40.87715,,,,,,,,,,,,,,,,,
2/12/2024 15:15:50,NULL,EndTorqueApplied,0f97633b0f8a499b04e1ffed66c7bcd4,Player1,EndTorqueApplied,,100.8772,5.884501,,,,,,,,,,,,,,,
2/12/2024 15:15:50,NULL,RoundEnded,a78ed2f99e292476b0455cfc837903c4,,,,,,,,,,,,,,,,,,,,21.47928
2/12/2024 15:15:51,NULL,WeaponAimed,9b1f29d0e1b35b7f5a11b716c03f9249,Player2,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:51,NULL,WeaponAimed,9b1f29d0e1b35b7f5a11b716c03f9249,Player1,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:52,NULL,WeaponAimed,211ab71c6fafbc530ad53c9c50a6b5ee,Player2,WeaponAimed,-42.3055,,,,,,,,,,,,,,,,,
2/12/2024 15:15:52,NULL,EndTorqueApplied,592924a8e2a06fd0f3a78af251a74e95,Player2,EndTorqueApplied,,17.6945,1.032179,,,,,,,,,,,,,,,
2/12/2024 15:15:53,NULL,WeaponAimed,2b6894e390b99511b6e6a3c388cb4c87,Player2,WeaponAimed,-60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:53,NULL,WeaponAimed,2b6894e390b99511b6e6a3c388cb4c87,Player1,WeaponAimed,21.57587,,,,,,,,,,,,,,,,,
2/12/2024 15:15:53,NULL,EndTorqueApplied,33dec08d5d40dacc4a7d01fdf2c0a6e9,Player1,EndTorqueApplied,,38.42413,2.241408,,,,,,,,,,,,,,,
2/12/2024 15:15:53,NULL,WeaponAimed,2b6894e390b99511b6e6a3c388cb4c87,Player2,WeaponAimed,-0.8230003,,,,,,,,,,,,,,,,,
2/12/2024 15:15:53,NULL,WeaponAimed,2b6894e390b99511b6e6a3c388cb4c87,Player1,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:53,NULL,WeaponAimed,2b6894e390b99511b6e6a3c388cb4c87,Player2,WeaponAimed,-51.98371,,,,,,,,,,,,,,,,,
2/12/2024 15:15:54,NULL,WeaponAimed,572aafdf31f649eca7641c1ac6e85573,Player2,WeaponAimed,0.5817729,,,,,,,,,,,,,,,,,
2/12/2024 15:15:54,NULL,WeaponAimed,572aafdf31f649eca7641c1ac6e85573,Player2,WeaponAimed,-57.35327,,,,,,,,,,,,,,,,,
2/12/2024 15:15:57,NULL,WeaponAimed,a484c8a22b9bdd7b01c973974e972e82,Player1,WeaponAimed,13.47491,,,,,,,,,,,,,,,,,
2/12/2024 15:15:57,NULL,EndTorqueApplied,290d279bef43161a98bb943c80f2307d,Player1,EndTorqueApplied,,46.52509,2.713964,,,,,,,,,,,,,,,
2/12/2024 15:15:57,NULL,WeaponAimed,a484c8a22b9bdd7b01c973974e972e82,Player2,WeaponAimed,-7.918797,,,,,,,,,,,,,,,,,
2/12/2024 15:15:57,NULL,EndTorqueApplied,290d279bef43161a98bb943c80f2307d,Player2,EndTorqueApplied,,52.0812,3.03807,,,,,,,,,,,,,,,
2/12/2024 15:15:57,NULL,WeaponAimed,a484c8a22b9bdd7b01c973974e972e82,Player1,WeaponAimed,60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:57,NULL,WeaponAimed,a484c8a22b9bdd7b01c973974e972e82,Player1,WeaponAimed,28.20978,,,,,,,,,,,,,,,,,
2/12/2024 15:15:57,NULL,EndTorqueApplied,290d279bef43161a98bb943c80f2307d,Player1,EndTorqueApplied,,31.79022,1.85443,,,,,,,,,,,,,,,
2/12/2024 15:15:58,NULL,WeaponAimed,bbbf27fc39fb6546fc3131e51e7682bc,Player2,WeaponAimed,-60,,,,,,,,,,,,,,,,,
2/12/2024 15:15:58,NULL,WeaponAimed,bbbf27fc39fb6546fc3131e51e7682bc,Player2,WeaponAimed,-21.3447,,,,,,,,,,,,,,,,,
2/12/2024 15:15:58,NULL,EndTorqueApplied,5322ea171f382230473ba52607600817,Player2,EndTorqueApplied,,38.6553,2.254892,,,,,,,,,,,,,,,
2/12/2024 15:15:58,NULL,Player1Shot,51baa0a919f61066a1ab0f4ef6a6e1e2,Player1,Player1Shot,,,,(-2.32, -0.10, 0.00),(0.00, 180.00, 173.90),,,,,,,,,,,,,
2/12/2024 15:15:58,NULL,Player2Shot,aaaa5e3ff31eb54995b26547be95bd16,Player2,Player2Shot,,,,(2.67, -0.43, 0.00),(0.00, 0.00, 225.79),,,,,,,,,,,,,
2/12/2024 15:15:59,NULL,RoundComplete,8364fadede48ef43becbda06f1a11fe7,,,,,,,,1.450773,1,1,2,1109.996,96.74103,7.73893,2.254892,-191.8456,-191.5192,1,1,
2/12/2024 15:16:00,NULL,WeaponAimed,d18cad65d64f8dca5a35090747de630f,Player2,WeaponAimed,-60,,,,,,,,,,,,,,,,,
2/12/2024 15:16:00,NULL,WeaponAimed,d18cad65d64f8dca5a35090747de630f,Player2,WeaponAimed,-21.60522,,,,,,,,,,,,,,,,,
2/12/2024 15:16:01,NULL,WeaponAimed,d6df098c682a8f0bb6b679def7bd75d9,Player2,WeaponAimed,-53.44908,,,,,,,,,,,,,,,,,
2/12/2024 15:16:01,NULL,RoundEnded,26eac25f8507169a968cd1b37f70705c,,,,,,,,,,,,,,,,,,,,10.45912
